productCode,userId,accountId,currentBalance,availableBalance,creditLimit,amortisedLimit,currency,purses,statusCode
I70,11784482,Xhrcd2jDt64BK1u_3OnKsg,0,0,null,null,AUD,null,200
S54,14138786,ooqrjVfnRLC6dq5cRfJv1g,-27149.92,32850.08,60000,null,AUD,null,200
L8,5320372,kqTIjDeCs-BxmU6-nUevKA,-62631.79,12368.21,null,null,AUD,null,200
L2,5998816,BOu4RloBAP2GZ9At5h8y4w,0,0,null,null,AUD,null,200
L9.1,14579448,UkLHHjvSijXTMKW2DYT48Q,-424480.51,19.49,null,null,AUD,null,200
L33,8194459,qRt7Bavl4CNXIbVnNxZFAw,-208776.42,18018.64,null,null,AUD,null,200
L62,8178577,4Anf-J0FqN4iGsz3c6UX_g,0,0,null,null,AUD,null,200
L36,9587012,r1WMVeS00hXY4LrY6Zl8SQ,-222309.01,505,null,null,AUD,null,200
L67,8885664,3AaIlm4MkFaVlP_emGw1Bg,0,0,null,null,AUD,null,200
L1,12234362,nkL5pcioxuPhYWjufm-TLg,-0.1,139439.78,null,null,AUD,null,200
L1,14507994,ihRDG_bmVKcGAlnXV9cJGA,1556.47,570195.41,null,null,AUD,null,200
L60,15401995,fIygTGkVsUDZvIkWwh-NTg,-307805.95,3543.76,null,null,AUD,null,200
L29,8066523,nccxjGHC1Fg5CKSBUNUu6g,0,0,null,null,AUD,null,200
L47 - L47.9,14730006,-58bEBnBTnNia5BboHWzSw,0,0,null,null,AUD,null,200
L46 - L46.9,8178577,NgeJg0LcJVXjqeCYsccHaA,0,0,null,null,AUD,null,200
L48 - L48.9,14899051,_3FK_rjaMiQ30B-s6tLF4Q,-2230.9,920,null,null,AUD,null,200
L50,8066523,ojsMlYixGmBFxRPBEhxafA,0,0,5000,null,AUD,null,200
L61,8062226,lHsRO5h5Ry3O7bYRlXnt0w,8.87,16008.87,16000,null,AUD,null,200
S26,3065324,5zEO4zNCbHV5qkFSZzpLsA,1257.55,1257.55,null,null,AUD,null,200
S12,10093273,y8LbquFsJoObv_psNTk30Q,0,0,null,null,AUD,null,200
S1,15493679,2ej2E_jFx0zbmz3vk0rjUw,501.21,292.41,null,null,AUD,null,200
S10 - S10.9,12349798,eDyUQL8J7Cy32IIfSrAzlw,304.09,303.09,null,null,AUD,null,200
S9.1 to S9.9,10072926,9rUgD0qF0uUVlX7gjY6Tcg,18.2,17.2,null,null,AUD,null,200
S8-S8.9,4167333,8BH4PnUjmEOtjRut2QQcqg,90.79,89.79,null,null,AUD,null,200
S65 - S65.9,425869,YkVFLMmZLq02SCg0fh7PwQ,75506.78,75505.78,null,null,AUD,null,200
